Processes: 403 total, 2 running, 401 sleeping, 1668 threads 
2020/08/30 12:31:22
Load Avg: 1.51, 1.70, 1.70 
CPU usage: 7.53% user, 10.95% sys, 81.50% idle 
SharedLibs: 391M resident, 53M data, 48M linkedit.
MemRegions: 71844 total, 3169M resident, 139M private, 1212M shared.
PhysMem: 10G used (2497M wired), 5639M unused.
VM: 2216G vsize, 1991M framework vsize, 3152691(0) swapins, 3366775(0) swapouts.
Networks: packets: 9272571/9600M in, 5120610/866M out.
Disks: 3087464/43G read, 4711613/64G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS   COW      MSGSENT   MSGRECV   SYSBSD   SYSMACH   CSW       PAGEINS IDLEW    POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
53545  top              0.0  00:00.18 1/1   0   14     2292K 0B    0B    53545 53146 running  *0[1]       0.00000 0.00000    0   1332     108      185708    92853     1782     95789     18        0       0        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
53466  com.apple.WebKit 0.0  00:00.10 3     1   84     4428K 0B    0B    53466 1     sleeping *4[2]       0.00000 0.00000    501 5671     346      3729      1552      2422     2851      419       0       4        0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
53465  mdworker_shared  0.0  00:00.04 3     1   48     3640K 0B    0B    53465 1     sleeping *0[1]       0.00000 0.00000    501 2260     190      631       277       817      598       81        0       0        0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
53464  com.apple.WebKit 0.0  00:06.11 21    3   205    443M  39M   0B    53464 1     sleeping *2091[2]    0.00000 0.00000    501 77076    3287     26673     14336     53684    78433     31020     4       643      0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
53400  com.apple.WebKit 0.0  00:00.15 4     1   104    5488K 8192B 0B    53400 1     sleeping  0[2]       0.00000 0.00000    501 10985    386      4100      1698      3098     4277      889       0       72       0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
53146  zsh              0.0  00:00.17 1     0   21     2312K 0B    0B    53146 53145 sleeping *0[1]       0.00000 0.00000    501 9518     4243     285       132       33093    329       583       0       0        0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
53145  login            0.0  00:00.02 2     1   30     1104K 0B    0B    53145 52069 sleeping *0[9]       0.00000 0.00000    0   1486     175      122       30        3693     252       181       0       1        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
53095  com.apple.WebKit 0.0  00:00.46 4     1   114    11M   10M   0B    53095 1     sleeping  0[607]     0.00000 0.00000    501 14784    422      7244      2742      7168     18104     4430      0       356      0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
53093  com.apple.Safari 0.0  00:00.17 3     1   53     5716K 0B    0B    53093 1     sleeping *0[3]       0.00000 0.00000    501 4226     233      276       89        2311     678       2051      0       12       0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
53091  ImageIOXPCServic 0.0  00:00.15 2     1   34     3364K 540K  0B    53091 1     sleeping *0[1308]    0.00000 0.00000    501 2150     171      5788      1532      7727     4646      1894      0       0        0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
53089  webinspectord    0.0  00:00.07 2     1   50     3148K 0B    0B    53089 1     sleeping *0[93]      0.00000 0.00000    501 2106     187      845       193       1342     1409      673       0       0        0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
53088  com.apple.Safari 0.0  00:00.13 3     1   141    5384K 0B    0B    53088 1     sleeping  0[23]      0.00000 0.00000    501 4972     300      852       178       1831     1744      951       0       7        0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
53086  com.apple.iCloud 0.0  00:00.07 3     2   56     3576K 0B    0B    53086 1     sleeping *0[1]       0.00000 0.00000    501 2933     214      238       58        1493     549       524       0       10       0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
53085  com.apple.WebKit 0.0  00:03.29 10    4   133    29M   1976K 0B    53085 1     sleeping *87[1]      0.00000 0.00000    501 24328    364      7689      3290      97978    30421     32612     806     123      0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
53084  com.apple.WebKit 0.0  00:01.51 6     1   172    75M   7512K 0B    53084 1     sleeping *0[395]     0.00000 0.00000    501 47496    449      8210      3634      16078    20790     8218      0       65       0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
53082  Safari           0.0  00:15.83 8     2   656    192M  148M  0B    53082 1     sleeping *0[42]      0.00000 0.00000    501 187133   730      50055     20086     1197596  188318    189896    142     1112     0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
53070  vim              0.0  00:00.91 1     0   21     3292K 0B    0B    53070 52071 sleeping *0[1]       0.00000 0.00000    501 2157     196      50        19        7331     125       713       0       12       0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
52314  PerfPowerService 0.0  00:02.19 6     3   225    9076K 256K  0B    52314 1     sleeping *0[305]     0.00000 0.00000    0   10006    267      57860     27839     41344    38185     19643     527     68       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
52071  zsh              0.0  00:00.33 1     0   21     2968K 0B    0B    52071 52070 sleeping *0[1]       0.00000 0.00000    501 14728    5898     342       161       60739    332       1073      150     0        0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
52070  login            0.0  00:00.05 2     1   31     1112K 0B    0B    52070 52069 sleeping *0[9]       0.00000 0.00000    0   1457     183      127       32        21351    254       248       10      0        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
52069  Terminal         0.0  00:32.46 9     2   333    75M   652K  0B    52069 1     sleeping *0[295]     0.00000 0.00000    501 678245   696      121942    26752     118913   322153    93110     1850    2190     0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
51726  sandboxd         0.0  00:00.81 4     2   67     3212K 0B    0B    51726 1     sleeping *0[1]       0.00000 0.00000    0   19686    162      4648      1614      28542    4829      5744      621     600      0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
50843  node             0.0  00:03.07 19    2   129    33M   0B    14M   50843 1     sleeping *0[1]       0.00000 0.00000    501 41607    722      922       1387      149011   5208      26325     1510    469      0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
